Wyniki badania:
NUMER PROBY,EKSPERYMENT,CZAS REAKCJI,ZGODNOSC,BODZIEC,REAKCJA,BLOK
1,False,0.6522244999650866,1,830,1,trening
2,False,0,0,318,0,trening
3,False,0.5671392999356613,1,746,1,trening
4,False,0,0,712,0,trening
5,False,0,0,771,1,trening
6,False,0.7045272000832483,1,974,1,trening
7,False,0.6550279000075534,1,602,1,trening
8,False,0.6670376999536529,1,992,1,trening
9,False,0.607032100087963,1,412,1,trening
10,False,0.7243076000595465,1,212,1,trening
1,True,0.5437028999440372,1,582,1,normalny
2,True,0,0,567,1,normalny
3,True,0.9058655999833718,1,30,1,normalny
4,True,0.6370570999570191,1,80,1,normalny
5,True,0,0,580,0,normalny
6,True,0,0,112,0,normalny
7,True,0,1,593,0,normalny
8,True,0,0,71,1,normalny
9,True,0.5603314000181854,1,428,1,normalny
10,True,0,0,241,1,normalny
11,True,0,1,277,0,normalny
12,True,0.6914516999386251,1,354,1,normalny
13,True,0,0,570,0,normalny
14,True,0,0,701,1,normalny
15,True,0,0,332,0,normalny
16,True,0,0,70,0,normalny
17,True,0.5799769998993725,1,114,1,normalny
18,True,0,0,363,1,normalny
19,True,0,0,694,0,normalny
20,True,0.7322199000045657,1,950,1,normalny
21,True,0,0,152,0,normalny
22,True,0,0,233,1,normalny
23,True,0,1,519,0,normalny
24,True,0,1,339,0,normalny
25,True,0,0,993,1,normalny
1,True,0,0,837,1,normalny
2,True,0,0,568,0,normalny
3,True,0,0,479,1,normalny
4,True,0,1,21,0,normalny
5,True,0,1,513,0,normalny
6,True,0,0,902,0,normalny
7,True,0.5683553999988362,1,904,1,normalny
8,True,0,0,627,1,normalny
9,True,0.6200381000526249,1,906,1,normalny
10,True,0,1,143,0,normalny
11,True,0,0,280,0,normalny
12,True,0,1,785,0,normalny
13,True,0,0,474,0,normalny
14,True,0,0,944,0,normalny
15,True,0,0,618,0,normalny
16,True,0,0,380,0,normalny
17,True,0,0,188,0,normalny
18,True,0,0,84,0,normalny
19,True,0,0,126,0,normalny
20,True,0,0,247,1,normalny
21,True,0.6021375999553129,1,494,1,normalny
22,True,0,0,324,0,normalny
23,True,0,1,785,0,normalny
24,True,0,0,391,1,normalny
25,True,0,0,783,1,normalny
